year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,12,8,658,-7,935,-5,VX,N846VA,1780,SEA,LAX,132,954,6,58
2014,1,22,1040,5,1505,5,AS,N559AS,851,SEA,HNL,360,2677,10,40
2014,3,9,1443,-2,1652,2,VX,N847VA,755,SEA,SFO,111,679,14,43
2014,4,9,1705,45,1839,34,WN,N360SW,344,PDX,SJC,83,569,17,5
2014,3,9,754,-1,1015,1,AS,N612AS,522,SEA,BUR,127,937,7,54
2014,1,15,1037,7,1352,2,WN,N646SW,48,PDX,DEN,121,991,10,37
2014,7,2,847,42,1041,51,WN,N422WN,1520,PDX,OAK,90,543,8,47
2014,5,12,1655,-5,1842,-18,VX,N361VA,755,SEA,SFO,98,679,16,55
2014,4,19,1236,-4,1508,-7,AS,N309AS,490,SEA,SAN,135,1050,12,36
2014,11,19,1812,-3,2352,-4,AS,N564AS,26,SEA,ORD,198,1721,18,12
2014,11,8,1653,-2,1924,-1,AS,N323AS,448,SEA,LAX,130,954,16,53
2014,8,3,1120,0,1415,2,AS,N305AS,656,SEA,PHX,154,1107,11,20
2014,10,30,811,21,1038,29,AS,N433AS,608,SEA,LAS,127,867,8,11
2014,11,12,2346,-4,217,-28,AS,N765AS,121,SEA,ANC,183,1448,23,46
2014,10,31,1314,89,1544,111,AS,N713AS,306,SEA,SFO,129,679,13,14
2014,1,29,2009,3,2159,9,UA,N27205,1458,PDX,SFO,90,550,20,9
2014,12,17,2015,50,2150,41,AS,N626AS,368,SEA,SMF,76,605,20,15
2014,8,11,1017,-3,1613,-7,WN,N8634A,827,SEA,MDW,216,1733,10,17
2014,1,13,2156,-9,607,-15,AS,N597AS,24,SEA,BOS,290,2496,21,56
2014,6,5,1733,-12,1945,-10,OO,N215AG,3488,PDX,BUR,111,817,17,33
2014,7,27,2105,15,2316,21,AS,N519AS,300,SEA,SFO,106,679,21,5
2014,9,26,610,-5,1523,65,US,N127UW,616,SEA,PHL,293,2378,6,10
2014,8,19,1845,-5,2112,-22,DL,N354NW,2642,SEA,LAX,119,954,18,45
2014,8,19,1222,5,1419,-1,OO,N825SK,4623,SEA,SJC,90,697,12,22
2014,10,29,643,3,851,2,OO,N218AG,3456,PDX,BUR,108,817,6,43
2014,6,5,1133,38,1247,32,WN,N793SA,1617,PDX,RNO,61,444,11,33
2014,12,30,1305,70,1525,86,AS,N520AS,306,SEA,SFO,117,679,13,5
2014,9,28,1848,-7,2044,-9,OO,N217AG,3490,SEA,FAT,98,748,18,48
2014,12,4,954,-6,1348,-17,HA,N395HA,29,SEA,OGG,333,2640,9,54
